NAICS,2021,2023,delta,pct_change,share_2021,share_2023
325199,12634800.1532504,12613526.330133399,-21273.823117000982,-0.16837482871882328,15.339406972717558,18.10084797807219
324110,9229663.600778399,7559725.1692638,-1669938.4315145994,-18.093166812425995,11.205366485927023,10.848467943333885
325180,8131754.7262165,6978810.4308148,-1152944.2954016998,-14.17829649589217,9.872439107449196,10.014835135689387
325211,16207749.0777019,6791781.7915834,-9415967.2861185,-58.09546557623282,19.6771817677384,9.746442548424897
334413,5097023.9868301,4342139.4065403,-754884.5802898007,-14.810300721368044,6.188093546028626,6.231120722332636
32411,3985909.1198575,4240351.3816325,254442.2617750005,6.383543982661026,4.839133298838251,6.0850513745053965
325992,3652974.9131529,3237091.0625357,-415883.85061720014,-11.384798979039493,4.434931156355854,4.6453380030733396
325194,3338485.3105488,2957123.3491249,-381361.9614239,-11.423203217905112,4.053121872115495,4.243574619338938
562211,2741224.8453448,2340939.942494,-400284.9028508002,-14.602410434538838,3.32801176088656,3.3593300490167377
562998,1579851.9609194999,1956183.6558725,376331.6949530002,23.820693600555394,1.9180352590662628,2.807191426520226
331492,2062388.1414148,1902218.9758003,-160169.16561449994,-7.766198922411557,2.5038631915938643,2.7297502380209693
221112,42613.0649567,1411413.8449543999,1368800.7799977,3212.162235663091,0.0517348226958312,2.025427844125787
331110,1230638.4060614,1325434.5085861,94796.10252470011,7.703002121320962,1.4940690092336713,1.902044512920447
325130,2050916.4445284002,1168769.5876203,-882146.8569081002,-43.012325502658214,2.4899358619112593,1.677224915000073
56291,1210301.5540283,1112028.7262974,-98272.82773090014,-8.1196977235809,1.4693788482421335,1.5957998100714794
562910,170742.091486,963811.3824822,793069.2909962,464.4837626703359,0.20729116384187118,1.3831027784964705
325110,278823.9490727,917430.180947,638606.2318743,229.03564561012337,0.3385090366835862,1.3165441448475006
92711,516.7283711,768063.951108,767547.2227369,148539.78718121522,0.0006273393075088111,1.1021984219615408
332813,709286.4107661,454050.3844887,-255236.02627740003,-35.98490291132459,0.8611163439858883,0.6515780574684277
482111,4248.6616437,373649.8559152,369401.19427150005,8694.530778162942,0.005158130659100567,0.5362005090354526
334511,299680.04259529995,368799.17074870004,69119.12815340009,23.064308038270454,0.3638295880594556,0.5292396075008396
32532,256090.1742621,305545.1623772,49454.988115099986,19.31155236923866,0.31090886734048845,0.4384679105487376
326199,262382.3978513,292533.9934363,30151.595585000003,11.491470400422141,0.3185480050575375,0.4197964316258603
493190,328048.9174667,215385.27718200002,-112663.6402847,-34.34354886909096,0.39827110765076923,0.30908534671010524
33111,411881.7576583,210796.9999925,-201084.7576658,-48.820991444010815,0.5000492155575197,0.3025010097281474
334111,195648.20645030003,206820.5430441,11172.336593799962,5.71042116690093,0.23752868472963964,0.2967946560225714
325998,196127.3370607,205727.076162,9599.739101300016,4.894646123874596,0.23811037809533336,0.29522549310302654
33142,198954.4059927,191048.746551,-7905.6594417000015,-3.973603601415128,0.2415426097382468,0.27416158076742375
331491,18221.9816981,178273.8020065,160051.8203084,878.3447539357837,0.02212258126177482,0.2558290920504599
331315,151681.0117576,175915.26580390002,24234.25404630002,15.977117877502394,0.1841498671259017,0.25244451075759394
313210,63.0355,168598.6493812,168535.6138812,267366.18870509474,7.652888660688379e-05,0.2419449123015483
49319,130245.6302961,165990.2728684,35744.6425723,27.444024410675617,0.15812602536621975,0.23820180149398817
54171,165379.36721650002,148522.30708509998,-16857.060131400038,-10.192964464141568,0.20078049417914862,0.2131346644496612
331314,153002.7331138,147612.4363081,-5390.296805699996,-3.523006874452899,0.18575451631238435,0.21182896831179202
332216,81372.7673542,139483.7151172,58110.94776299999,71.41326226506986,0.09879143158597783,0.2001639713330241
331318,142605.4099527,128590.61319769999,-14014.796755000003,-9.827675373359604,0.17313154092215266,0.1845319920836154
332999,155790.18715689998,116486.5085619,-39303.678594999976,-25.228597071660435,0.18913865309858097,0.16716218191404505
