STATE NAME,2021,2023,delta,pct_change
TEXAS,30988746.771295,27894004.5875352,-3094742.183759801,-9.986664535354727
NEW YORK,27118681.8491946,19881003.1299419,-7237678.719252702,-26.688903094556764
LOUISIANA,5498513.4478319,4732692.7834001,-765820.6644318001,-13.927776510827092
WYOMING,3022054.5453558997,3303815.031469,281760.4861131003,9.323474539732972
OHIO,1479510.5823183,1712332.3308344,232821.7485161,15.736403057778944
MISSISSIPPI,2145315.5607064,1264540.1465583998,-880775.4141480001,-41.05575097110573
ALABAMA,1208047.3962431,1200918.8701878,-7128.526055300143,-0.5900866205638211
KANSAS,1031808.6046283001,1053014.0197023,21205.415073999902,2.0551694353856416
TENNESSEE,935014.3648224,897966.4235455,-37047.941276900005,-3.96228578626565
INDIANA,945283.5409004999,864978.8900849,-80304.65081559995,-8.495297690161811
CALIFORNIA,425719.6020916,778751.553716,353031.95162440004,82.92593291216124
NEW MEXICO,3819.9863155,771740.9161087,767920.9297932,20102.714155736092
MISSOURI,1110782.7865752,741743.5791086,-369039.2074666,-33.223345907657894
HAWAII,542013.7127663,544646.9455548,2633.232788500027,0.48582401634465616
ARKANSAS,916889.8742776,486706.872399,-430183.0018786,-46.917630344378374
NORTH DAKOTA,351521.88039879996,346604.8861505,-4916.994248299976,-1.398773311840978
MICHIGAN,348311.7253486,331985.2088007,-16326.516547899984,-4.687329010115854
ILLINOIS,381318.2685336,317045.14243269997,-64273.12610090006,-16.85550664752287
WASHINGTON,114290.1909742,263308.1739398,149017.9829656,130.3856277563133
PENNSYLVANIA,591488.3734202,254960.6363835,-336527.73703669995,-56.895072187264596
WISCONSIN,214304.6100113,247704.0096325,33399.39962119999,15.585012202695445
GEORGIA,166973.1799803,170735.6745974,3762.4946171000192,2.25335267468939
NEW JERSEY,223384.0046331,161933.7258027,-61450.2788304,-27.508808847495516
MINNESOTA,389877.01276290003,155573.5582147,-234303.45454820004,-60.096760485514814
KENTUCKY,813593.4664003,152320.01082969998,-661273.4555706,-81.27811774305027
SOUTH CAROLINA,174039.00099960002,151644.4489997,-22394.551999900024,-12.867548004341565
OKLAHOMA,106638.0440227,115627.7472211,8989.703198399991,8.430108861042457
NORTH CAROLINA,137874.7818187,114845.5272123,-23029.25460639999,-16.703021613250908
FLORIDA,115047.0386178,111551.23229239999,-3495.8063254000153,-3.0385887089310497
ARIZONA,218611.67936850002,82855.21152340001,-135756.4678451,-62.099366436988866
COLORADO,65357.0986646,75185.092746,9827.994081399993,15.037378161223709
VIRGINIA,66555.18753,70289.3851702,3734.1976402,5.610678564336998
MASSACHUSETTS,58667.765072,65458.7477507,6790.982678699998,11.575321934227025
OREGON,64876.1396462,54248.178649400004,-10627.960996799993,-16.381925704518252
IOWA,55589.5707374,53311.3930925,-2278.1776448999954,-4.098210536040827
WEST VIRGINIA,48087.7348291,45674.5870642,-2413.1477649000008,-5.018218831633756
MARYLAND,81651.0242111,41629.3848104,-40021.6394007,-49.01547749998619
CONNECTICUT,46628.0370388,40053.2109856,-6574.826053199999,-14.100585121627512
UTAH,45774.8715048,32370.3772443,-13404.4942605,-29.283521329151935
NEBRASKA,27742.88428,23628.9483044,-4113.935975599998,-14.82879694151252
NEVADA,19620.0446819,15992.2393194,-3627.8053624999993,-18.490301226718124
MONTANA,6580.8312258,12502.512435,5921.681209200001,89.98378785318462
IDAHO,7257.599793,8098.5818453,840.9820522999999,11.587605768936616
PUERTO RICO,12912.2567501,6918.814654899999,-5993.4420952,-46.416689283641944
DELAWARE,6474.127913,6417.7765322,-56.3513808000007,-0.8704088265980588
NEW HAMPSHIRE,3290.3165974,5122.2466336,1831.9300362,55.676406265816084
RHODE ISLAND,9240.2509887,4925.1250589,-4315.1259297999995,-46.69922857157249
VIRGIN ISLANDS,669.0668883000001,3337.5408935,2668.4740051999997,398.8351616054707
MAINE,10513.1653089,2777.2455199,-7735.919789,-73.5831651239337
ALASKA,5393.9188678,2728.8600517,-2665.0588161,-49.408581801435005
SOUTH DAKOTA,2204.7842799,1917.3268996,-287.45738030000007,-13.037891412806967
DISTRICT OF COLUMBIA,973.1102602,1799.4021694,826.2919092000001,84.91246500989263
VERMONT,2067.942469,1794.1201477,-273.8223213000001,-13.241292995564477
REGION 06 PURVIEW,236.1798495,446.4578743,210.27802480000003,89.03300821182039
GUAM,317.4760651,226.8417041,-90.63436100000004,-28.548407569386885
REGION 10 PURVIEW,43.663000000000004,185.904,142.24099999999999,325.77010283306225
REGION 09 PURVIEW,43.0025,117.10459350000001,74.10209350000001,172.3204313702692
TRUST TERRITORIES,0.0,13.190999999999999,13.190999999999999,
NAVAJO NATIONS,0.0,4.2001428,4.2001428,
