STATE NAME,WASTE CODE GROUP,2021,2023,delta,pct_change
ALABAMA,D001,17558.123676199997,12966.607894699999,-4591.515781499998,-26.150378401331054
ALABAMA,D002,9083.4517033,7670.7712688,-1412.6804344999991,-15.552242480540468
ALABAMA,D003,129.9816952,45.133392099999995,-84.8483031,-65.27711688130069
ALABAMA,D004,23.6276,25.65,2.0223999999999975,8.559481284599356
ALABAMA,D005,10.721499999999999,661.1289257000001,650.4074257000001,6066.384607564241
ALABAMA,D006,2243.5249999999996,671.9124,-1571.6125999999995,-70.05104021573193
ALABAMA,D007,71123.4994424,6724.637932799999,-64398.86150960001,-90.54512504935728
ALABAMA,D008,450320.3040914,505507.1187597,55186.81466829998,12.255013635161095
ALABAMA,D009,19.3068878,260.92609,241.6192022,1251.4663404217847
ALABAMA,D010,80.337457,92.28355,11.946093000000005,14.869891886172107
ALABAMA,D011,3.7816,10.52455,6.7429499999999996,178.30944573725404
ALABAMA,D016,0.2275,56.5705,56.343,24766.153846153848
ALABAMA,D018,35.5645961,54.9367201,19.372124,54.47024885515288
ALABAMA,D019,3.25,0.0,-3.25,-100.0
ALABAMA,D021,21.75,0.0,-21.75,-100.0
ALABAMA,D022,17.5059,233.78125500000002,216.27535500000002,1235.4426507634569
ALABAMA,D023,0.0,0.0,0.0,
ALABAMA,D024,0.0,0.0,0.0,
ALABAMA,D026,0.0,0.0,0.0,
ALABAMA,D028,0.0051,0.233,0.22790000000000002,4468.6274509803925
ALABAMA,D029,0.0,0.0,0.0,
ALABAMA,D030,0.0,0.0,0.0,
ALABAMA,D031,0.0,0.0,0.0,
ALABAMA,D034,0.0,0.0015,0.0015,
ALABAMA,D035,9.477,1.514,-7.963,-84.02448032077662
ALABAMA,D036,0.987,0.0,-0.987,-100.0
ALABAMA,D039,8.379794,21.977422699999998,13.597628699999998,162.26686121401073
ALABAMA,D040,10.815,15.5,4.6850000000000005,43.31946370781323
ALABAMA,D041,4.6,0.0,-4.6,-100.0
ALABAMA,D042,0.0,0.0,0.0,
ALABAMA,D043,284.355,6.6865,-277.6685,-97.64853791915034
ALABAMA,DMIX,6899.4166903,5509.2838795,-1390.1328107999998,-20.14855564173142
ALABAMA,F001,444.08774999999997,21.8054639,-422.28228609999996,-95.08982990411242
ALABAMA,F002,128.7376642,131.2292506,2.4915863999999885,1.935398172308915
ALABAMA,F003,9657.869633,8277.6014361,-1380.2681969000005,-14.291642456880535
ALABAMA,F004,0.0,0.0,0.0,
ALABAMA,F005,618.483872,468.7190136,-149.76485840000004,-24.21483650264045
ALABAMA,F006,1351.488911,983.7619169,-367.72699409999996,-27.2090278438104
ALABAMA,F007,69.77094170000001,20.6425801,-49.128361600000005,-70.41378603035253
ALABAMA,F008,6.4326496,3.0375748,-3.3950748000000006,-52.778792738842796
ALABAMA,F009,0.073,0.023,-0.049999999999999996,-68.4931506849315
ALABAMA,F011,0.0,0.0,0.0,
ALABAMA,F012,0.0,0.0,0.0,
ALABAMA,F019,53.53,13.7775,-39.7525,-74.26209602092284
ALABAMA,F021,2.2525000000000004,0.0,-2.2525000000000004,-100.0
ALABAMA,F027,88.67411150000001,0.0,-88.67411150000001,-100.0
